"DateTime","AMD Price Close","AMD Volume","OHLC (open)","OHLC (high)","OHLC (low)","OHLC (close)"
"2005-01-03 00:00:00",21.41,9279700,22.11,22.3,21.25,21.41
"2005-01-04 00:00:00",20.21,20380800,21.48,21.51,20.21,20.21
"2005-01-05 00:00:00",19.75,19229800,20.32,20.61,19.52,19.75
"2005-01-06 00:00:00",19.72,10759300,20.07,20.11,19.34,19.72
"2005-01-07 00:00:00",19.92,16590700,19.91,20.2,19.15,19.92
"2005-01-10 00:00:00",20.13,11591900,20.1,20.49,19.96,20.13
"2005-01-11 00:00:00",14.86,99947700,16.63,16.75,14.8,14.86
"2005-01-12 00:00:00",15.02,42207800,14.95,15.15,14.63,15.02
"2005-01-13 00:00:00",15.16,22242000,15.24,15.26,15.04,15.16
"2005-01-14 00:00:00",15.16,15614900,15.2,15.45,15.01,15.16
"2005-01-18 00:00:00",15.5,20667100,15.05,15.63,15.05,15.5
"2005-01-19 00:00:00",15.5,17981900,15.33,15.87,15.27,15.5
"2005-01-20 00:00:00",15.64,16480700,15.36,15.73,15.2,15.64
"2005-01-21 00:00:00",15.49,12210600,15.64,15.83,15.44,15.49
"2005-01-24 00:00:00",15.16,12348400,15.6,15.78,15.11,15.16
"2005-01-25 00:00:00",15.75,10888400,15.27,15.76,15.2,15.75
"2005-01-26 00:00:00",15.98,8578300,15.84,15.99,15.7,15.98
"2005-01-27 00:00:00",16.12,8418600,15.98,16.27,15.75,16.12
"2005-01-28 00:00:00",15.71,10445600,16.14,16.32,15.55,15.71
"2005-01-31 00:00:00",15.8,7220800,15.88,16.04,15.74,15.8
"2005-02-01 00:00:00",16.27,14257000,15.9,16.42,15.85,16.27
"2005-02-02 00:00:00",16.66,9279900,16.35,16.79,16.34,16.66
"2005-02-03 00:00:00",16.67,6605200,16.7,16.8,16.31,16.67
"2005-02-04 00:00:00",17.49,12884700,16.88,17.49,16.83,17.49
"2005-02-07 00:00:00",17.22,9231700,17.5,17.68,17.13,17.22
"2005-02-08 00:00:00",17.64,7630300,17.2,17.65,17.17,17.64
"2005-02-09 00:00:00",17.94,14260300,18.06,18.45,17.91,17.94
"2005-02-10 00:00:00",17.75,10349600,18.14,18.3,17.65,17.75
